videoId,title,channelId,channelName,date
vJLAZKTPQgE,Myanmar police officers detained over Rohingya beatings video - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2017-01-03T10:28:14Z
vfqtL3_8frw,Exclusive: Myanmar state agents triggered violence,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2015-10-28T10:53:31Z
YFtdpEOirdA,Rohingya Hindus now face uncertainty in Myanmar,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2017-09-21T08:56:46Z
aoEyOBdoxyA,Raw: Drone Video Shows Rohingya Fleeing Myanmar,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,2017-10-17T07:06:55Z
E0mAvRjXbGE,Myanmar: Rohingya refugees recount army&#39;s alleged atrocities,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2017-09-01T10:51:56Z
EojGgy9zh9Y,Rohingya Muslims fleeing Myanmar describe military&#39;s violence and killings,UCKjU3KzdbJE1EFcHVqXC3_g,CBC News: The National,2017-09-25T14:35:04Z
vA9R4xnTkns,Rohingya refugees fleeing Myanmar to Bangladesh,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2017-09-01T14:37:09Z
L6lxAIL2Wnw,"6,700 Rohingya killed in first month of Myanmar violence",UC86dbj-lbDks_hZ5gRKL49Q,AFP News Agency,2017-12-14T09:58:28Z
pQf7aSxfDiQ,অবশেষে রোহিঙ্গাদের ওপর নির্যাতনের কথা স্বীকার করলো মিয়ানমার! | Myanmar News Update | Rohingya,UCxHoBXkY88Tb8z1Ssj6CWsQ,SOMOY TV,2020-09-16T10:42:00Z
kzAJvPyuK94,ICJ orders Myanmar to protect Rohingya,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2020-01-23T17:22:24Z
vUTlh3kowMM,Viral Video Shows Myanmar Soldiers Beating Men Accused of Being Members of the Rebel Arakan Army,UCirnBv9qGKCJYZSaWmYGFaQ,Radio Free Asia,2020-05-11T23:11:09Z
OB70lgeFCTk,Myanmar says majority of 700 migrants found on boat are Bangladeshi  | AFP,UC86dbj-lbDks_hZ5gRKL49Q,AFP News Agency,2015-06-04T18:59:47Z
SliEglPGTP4,Myanmar forces &#39;target Rohingya Muslims&#39;,UC86dbj-lbDks_hZ5gRKL49Q,AFP News Agency,2012-08-01T13:12:07Z
__x6B47ttUs,"The Rohingya, fleeing for their lives in Myanmar, head for Bangladesh",UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,2017-09-07T08:02:28Z
sD6mtlQzP18,Myanmar&#39;s Killing Fields (full documentary) | FRONTLINE,UC3ScyryU9Oy9Wse3a8OAmYQ,FRONTLINE PBS | Official,2021-02-17T00:00:22Z
wmRb9cEtGvA,Rohingya abuse by Myanmar border police,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2017-01-02T13:30:21Z
rdeV4hauEEk,In the jungle with Rohingya refugees feeling Myanmar - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2017-09-05T06:00:01Z
Vt9eDVD63IM,"Gravitas Plus: Uighur genocide: Speak up, Islamic world",UC_gUM8rL-Lrg6O3adPW9K1g,WION,2020-08-22T14:30:13Z
gMuk3t3NoTU,Ethnic Cleansing of Bosnian Muslims —explained,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2018-10-09T11:17:57Z
GRBcP5BrffI,How China is crushing the Uyghurs | The Economist,UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,2019-07-09T19:06:27Z
KX9OhLQNn1I,"Bosnian Genocide, Biggest genocide in Europe after World War II, Ethnic Cleansing of Bosnian Muslims",UCrC8mOqJQpoB7NuIMKIS6rQ,Study IQ education,2019-12-28T06:40:46Z
_36t6LNuC6I,Gravitas: China&#39;s Genocide Of Uighurs,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2020-06-29T18:56:21Z
hh8QOh1aXRM,Claims of rape and torture of Uighur women in China provoke global condemnation - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2021-02-04T22:44:54Z
oEItJdE14OM,Sangh Parivar Replicating Muslim Genocide in India   ....Killed muslims and burned holy Quran,UCsPsEKy0BeYpuLW5IGoTDrw,Suprabhaatham Online,2020-03-09T11:16:36Z
cn0R-uwae78,"Khilafat, Moplah Muslims and the massacre of Hindus in Kerala",UChYyq0Rp017VYEQzrxOuSmQ,Upword,2020-10-09T06:24:50Z
Vu5drxngn8w,&#39;Butcher Of Bosnia&#39; Ratko Mladic ने Srebrenica Massacre 1995 पर सजा में छूट मांगते हुए क्या कहा?,UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,2020-08-27T15:12:29Z
8nQo_cuNTFc,"Concentration Camps For Minority Uighur Muslims, China&#39;s Demographic Genocide | Newstrack",UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2020-07-08T18:16:43Z
tTK9q5gO7cA,Rwandans embrace Islam after the 1994 genocide,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2019-04-06T08:47:22Z
yWUScKBg4Zs,UK tribunal to investigate China&#39;s alleged genocide against Muslim Uighur population | ITV News,UCFQgi22Ht00CpaOQLtvZx2A,ITV News,2020-09-03T21:58:40Z
btzeRVvosp4,Outrage in India over brutal eviction of Muslims in Assam,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2021-09-24T13:45:56Z
D6HQzp-zPPo,China faces charges of Uighur genocide | International Criminal Court | Uighur Muslims | WION News,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2020-12-13T09:47:31Z
A0U5AZFsBrc,Hutu Muslims saved Tutsis during Rwandan genocide - 8 Apr 09,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2009-04-08T04:16:33Z
XZP93IEudag,Xinjiang: China&#39;s Muslim minorities | DW Documentary,UCW39zufHfsuGgpLviKh297Q,DW Documentary,2021-02-15T17:00:23Z
nyC_Xq8_qYQ,Inside the Kashmir That India Doesn’t Want the World to See | The Dispatch,UCqnbDFdCpuN8CMEg0VuEBqA,The New York Times,2019-08-23T17:00:11Z
YJ1En51nNjk,Muslims fear further repercussions after anti-Muslim riots in Delhi | DW News,UCknLrEdhRCp1aegoMqRaCZg,DW News,2020-03-05T06:00:04Z
amRYCwSQ7Qs,"India Wants Genocide of Muslims, PM Khan Tells World Community In Geneva",UCJekW1Vj5fCVEGdye_mBN6Q,SAMAA TV,2019-12-17T10:23:02Z
QdHkT3CWoFk,Pakistan Prime Minister Imran Khan REFUSES TO CONDEMN genocide of Uyghur Muslims in China,UCggJmYhtxBk1naIbZN541pw,Islam Channel,2021-06-21T16:55:23Z
FZ0iXW2I058,Uyghur Muslim Women in China - Demographic genocide of Uyghur in Xinjiang explained #UPSC #IAS,UCrC8mOqJQpoB7NuIMKIS6rQ,Study IQ education,2020-09-16T10:17:05Z
lZejLYkCZ3c,What is happening to the Uighurs? Exiled Uighurs push for ‘genocide’ investigation - BBC Newsnight,UC6o-wWU-v2ClFMwougmK7dA,BBC Newsnight,2020-07-16T23:33:37Z
cGILFb0hl5M,Hindu Extremists Devastate Indian Muslim Community (2002),UCM2YmsRUeIbRkqjgNm0eTGQ,Journeyman Pictures,2015-09-15T10:01:06Z
TKpyaDZkNfU,Why more than a million Uighurs are being held in camps in China,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,2020-07-24T07:48:53Z
isuphyOm3_k,Srebrenica was rooted in anti-Muslim hate – Bosnian genocide survivor,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2020-07-11T09:57:26Z
sQLUVto0wqI,Muslims in Nepal hold anti-China protest to condemn Uyghur genocide,UCttspZesZIDEwwpVIgoZtWQ,IndiaTV,2020-11-19T10:59:14Z
9dl1GjknZIU,Uighur Muslims Genocide In China || Uyghur Muslim Camps In China,UCmB6U6fVkEaUpOI-_5uRjZA,Study Glows,2021-05-09T07:39:55Z
XQ85eVzL9X4,Is $1.3 Trillion &#39;Bribe&#39; Keeping Pakistan &amp; Islamic Nations Mum On China’s Uyghur Muslim Genocide?,UC3prwMn9aU2z5Y158ZdGyyA,CRUX,2021-07-09T12:02:44Z
TOrxsOZqtA0,"Star of Mysore’s call for Muslim Genocide, Tabligi Jamat &amp; Law : Faizan Mustafa",UC3-Rzw-NBZXPYW4UiMoAZDQ,Faizan Mustafa's Legal Awareness Web series: LAW's,2020-04-13T08:23:07Z
