model,expansion_algo,batch_size,top_n_uncertain,final_expansion_size,classification_algo,accuracy,precision_weighted,recall_weighted,f1_score_weighted,,precision_micro,recall_micro,f1_score_micro
models/ft_unsupervised_N_2.bin,knn,10,5,1311,knn,0.662058372,0.663821975,0.662058372,0.64580583,,0.662058372,0.662058372,0.662058372
models/ft_unsupervised_N_2.bin,knn,20,1,154,lr,0.711213518,0.712885321,0.711213518,0.703262252,,0.711213518,0.711213518,0.711213518
models/ft_unsupervised_N_2.bin,knn,20,1,154,svm,0.658986175,0.675380597,0.658986175,0.628364526,,0.658986175,0.658986175,0.658986175
models/ft_unsupervised_N_2.bin,knn,20,1,154,knn,0.677419355,0.684093437,0.677419355,0.659809269,,0.677419355,0.677419355,0.677419355
models/ft_unsupervised_N_2.bin,knn,20,2,282,lr,0.74500768,0.744300437,0.74500768,0.744540454,,0.74500768,0.74500768,0.74500768
models/ft_unsupervised_N_2.bin,knn,20,2,282,svm,0.740399386,0.740293083,0.740399386,0.740344478,,0.740399386,0.740399386,0.740399386
models/ft_unsupervised_N_2.bin,knn,20,2,282,knn,0.67281106,0.677707559,0.67281106,0.655764024,,0.67281106,0.67281106,0.67281106
models/ft_unsupervised_N_2.bin,knn,20,5,666,lr,0.74500768,0.743773725,0.74500768,0.743523238,,0.74500768,0.74500768,0.74500768
models/ft_unsupervised_N_2.bin,knn,20,5,666,svm,0.743471582,0.744063933,0.743471582,0.743723758,,0.743471582,0.743471582,0.743471582
models/ft_unsupervised_N_2.bin,knn,20,5,666,knn,0.666666667,0.673961841,0.666666667,0.645849523,,0.666666667,0.666666667,0.666666667
models/ft_unsupervised_N_2.bin,knn,30,1,111,lr,0.734254992,0.732995644,0.734254992,0.733117331,,0.734254992,0.734254992,0.734254992
models/ft_unsupervised_N_2.bin,knn,30,1,111,svm,0.715821813,0.732872055,0.715821813,0.716721193,,0.715821813,0.715821813,0.715821813
models/ft_unsupervised_N_2.bin,knn,30,1,111,knn,0.609831029,0.603432805,0.609831029,0.587196761,,0.609831029,0.609831029,0.609831029
models/ft_unsupervised_N_2.bin,knn,30,2,196,lr,0.726574501,0.727064981,0.726574501,0.726792238,,0.726574501,0.726574501,0.726574501
